Rating,Company,Average,Lowest,Highest,yr/mo/hr
3.9,OSG Analytics,757506,"9,16,557","9,77,207",/yr
3.9,Xoanon Analytics,1031710,"12,40,523","13,38,751",/yr
3.9,CTE,8700562,"1,05,19,513","1,12,31,892",/yr
3.9,JAGUAR LAND ROVER LIMITED,1622818,"19,62,508","20,94,536",/yr
3.9,Senquire Analytics,899604,"10,77,323","11,71,688",/yr
3.9,Inceptua,258379,"3,09,602","3,36,346",/yr
3.9,ABC Ltd,1228322,"14,76,122","15,94,682",/yr
3.9,smartData Enterprises,319219,"3,80,772","4,17,276",/yr
3.9,Marico Limited,721030,"8,60,760","9,41,814",/yr
3.9,Google Cloud,2677496,"32,15,143","34,78,598",/yr
3.9,MariApps,557581,"6,70,593","7,23,359",/yr
3.9,Ticketmaster,1508243,"18,05,475","19,65,132",/yr
3.9,AppZen,900925,"10,75,471","11,76,842",/yr
3.9,Rubique,1211551,"14,46,581","15,82,297",/yr
3.9,Uttar Pradesh Power,653661,"7,83,901","8,50,252",/yr
3.9,Phenom,1964776,"23,72,190","25,39,749",/yr
3.9,Elevate,557241,"6,67,004","7,26,099",/yr
3.9,3Qi Labs,890041,"10,71,153","11,53,950",/yr
3.9,Prescinto,901920,"10,81,615","11,73,186",/yr
3.9,Crediwatch,82914,"99,536","1,07,748",/yr
3.9,Proven Consult,647127,"7,77,338","8,40,479",/yr
3.9,Codemasters,17744,"21,189","23,172",/yr
3.9,Anunta Technology Management Services,12012,"14,548","15,482",/yr
3.9,Integral Ad Science,40956,"48,741","53,648",/yr
3.9,Sahyadri College of Engineering & Management,199592,"2,39,103","2,59,878",/yr
3.9,Hartron,32529,"38,985","42,337",/yr
3.9,SRM Institute of Science and Technology,82344,"98,751","1,07,110",/yr
3.9,Pspl,27874,"33,375","36,309",/yr
3.9,Convosight,57587,"69,376","74,592",/yr
3.9,Cybage Software,27963,"33,280","36,628",/yr
3.9,Xybion Corp,63958,"77,280","82,615",/yr
3.9,College Nannies+Sitters+Tutors,16382,"19,773","21,181",/yr
3.9,CredAvenue,20771,"24,904","27,024",/yr
3.9,Valeo,31187,"37,495","40,473",/yr
3.9,Hippodrome Casino,98748,"1,18,516","1,28,353",/yr
3.9,Allsec,16122,"19,349","20,955",/yr
3.9,ASM Technologies,50595,"60,334","66,153",/yr
3.9,Megha Engineering and Infrastructure,14806,"17,759","19,255",/yr
3.9,Global Experience Specialists,36929,"44,428","47,895",/yr
3.9,Grmtech,16945,"20,328","22,035",/yr
3.9,Eli Lilly and Company,50716,"61,040","65,749",/yr
3.9,Nowhereman,343312,"4,13,004","4,45,275",/yr
3.9,PQE Group,24551,"29,584","31,794",/yr
3.9,OnPassive,21573,"26,076","27,857",/yr
3.9,Xenon Automotive,29573,"35,512","38,421",/yr
3.9,DoWell Research,3264,"3,937","4,224",/yr
3.9,AlphaSights,7988,"9,534","10,436",/yr
3.9,Prakat Solutions,576302,"6,90,084","7,50,672",/yr
3.9,Silicon Tech Lab,257164,"3,07,478","3,35,431",/yr
3.9,Tattle,57196,"68,842","74,147",/yr
3.9,James,979,"1,176","1,272",/yr
3.9,AVL,21517,"25,893","27,900",/yr
3.9,Practically,12179,"14,533","15,915",/yr
3.9,Soroco,215655,"2,59,619","2,79,518",/yr
3.9,Quinbay,254228,"3,05,699","3,29,870",/yr
3.9,SMEcorner,34116,"27,748","57,542",/yr
3.9,Maruti Suzuki,40728,"29,641","72,178",/yr
3.9,Mercedes-Benz International,79502,"42,900","1,55,855",/yr
3.9,udaan.com,109434,"95,252","1,78,334",/yr
3.9,CSIR,22818,"24,402","32,644",/yr
3.9,AnalytixLabs,78424,"42,801","1,53,258",/yr
3.9,Zummit Infolabs,51364,"49,282","79,128",/yr
3.9,Coditation Systems,39107,"44,456","53,312",/yr
3.9,Nothing,40102,"48,287","51,968",/yr
3.9,Quinbay,694854,"8,28,123","9,09,012",/yr
3.9,Soroco,1450384,"17,42,427","18,83,533",/yr
3.9,Raju Tech,494083,"5,90,826","6,44,381",/yr
3.9,Nilkamal,510756,"6,15,446","6,61,445",/yr
3.9,JLL,1298859,"15,58,547","16,88,600",/yr
3.9,Standard Chartered Bank,1449421,"15,42,913","20,80,640",/yr
3.9,Sanofi,927666,"8,38,816","14,80,350",/yr
3.9,mfine,1703433,"20,15,060","22,43,522",/yr
3.9,Cerulean Information Technology,851119,"10,18,134","11,09,663",/yr
3.9,American Express Global Business Travel,1383802,"13,40,084","21,19,422",/yr
3.9,Sociolla,653500,"7,81,956","8,51,793",/yr
3.9,TCS e-Serve International,910228,"10,31,558","12,44,013",/yr
3.9,Sonata Software,527400,"4,09,217","9,09,282",/yr
3.9,Shiprocket,809659,"7,52,455","12,71,692",/yr
3.9,Sezzle,590352,"5,73,192","9,02,688",/yr
3.9,Ugam,1421348,"12,55,495","22,97,874",/yr
3.9,Tata Research Development and Design Centre,891651,"8,58,562","13,70,566",/yr
3.9,Radhakrishna Foodland,253152,"3,01,772","3,31,107",/yr
3.9,GAVS Technologies,846937,"10,15,301","11,02,041",/yr
3.9,Bahwan CyberTek,1030606,"7,73,608","18,02,906",/yr
3.9,Confidential,1501862,"14,38,210","23,16,444",/yr
3.9,Cipla,732066,"6,91,862","11,38,302",/yr
3.9,Decimal Technologies,864883,"5,96,811","15,65,397",/yr
3.9,Lenovo,1593071,"14,90,830","24,91,848",/yr
3.9,TATA ELXSI,665349,"6,35,532","10,27,840",/yr
3.9,Idexcel,588880,"7,13,386","7,58,813",/yr
3.9,Bounce,1587442,"18,34,991","21,33,613",/yr
3.9,Broadridge,1348008,"11,30,310","22,39,710",/yr
3.9,IntellectFaces,44775,"39,557","72,381",/yr
