Rating,Company,Average,Lowest,Highest,yr/mo/hr
4.2,AppsTek,606070,"6,77,666","8,37,508",/yr
4.2,Wave Infosoft,512878,"6,08,119","6,74,076",/yr
4.2,o9 Solutions,922034,"10,56,965","12,48,120",/yr
4.2,Juniper Networks,2126301,"20,50,283","32,65,469",/yr
4.2,Johnson & Johnson,67299,"35,860","1,32,387",/yr
4.2,MiQ,22560,"9,673","46,728",/yr
4.2,Atlan,14338,"16,650","19,195",/yr
4.2,MSCI,1304722,"8,60,236","24,01,568",/yr
4.2,Rapido,1996202,"21,21,372","28,69,132",/yr
4.2,GS Lab,700783,"5,64,652","11,87,306",/yr
4.2,Innoplexus,65308,"30,484","1,32,786",/yr
4.2,MSCI,504666,"6,04,777","6,56,887",/yr
4.2,Coupa Software Inc,65388,"78,338","85,132",/yr
4.2,Freelancer,519690,"6,23,243","6,75,981",/yr
4.2,NetApp,814270,"9,71,945","10,63,731",/yr
4.2,Capital One,22151,"26,630","28,747",/yr
4.2,Rapido,26307,"31,622","34,145",/yr
4.2,Swiggy,32651,"39,244","42,384",/yr
4.2,Noodle.ai,22230,"26,839","28,736",/yr
4.2,Datametica,15934,"19,085","20,749",/yr
4.2,Bharti Airtel,1093023,"13,11,814","14,20,743",/yr
4.2,Bharti Airtel,299075,"3,56,553","3,91,134",/yr
4.2,MiQ,962262,"8,00,000","16,05,654",/yr
4.2,Shipsy,802852,"9,64,190","10,42,940",/yr
4.2,HP Inc.,820833,"9,87,419","10,64,663",/yr
4.2,Blue Yonder,1874159,"19,77,609","27,07,788",/yr
4.2,Freelancer,516423,"2,50,210","10,40,847",/yr
4.2,IELEKTRON TECHNOLOGIES ENGINEERING PRIVATE LIMITED,430400,"2,76,000","8,00,000",/yr
4.2,Freelancer,658649,"3,55,623","12,91,000",/yr
4.2,Apexon,746066,"4,20,076","14,45,089",/yr
4.2,Apple,711790,"2,15,167","15,64,309",/yr
4.2,Coupa Software Inc,1095968,"10,00,841","17,39,080",/yr
4.2,Freshworks,2283750,"1,22,511","55,86,864",/yr
4.2,Graduate Student,530693,"5,08,032","8,18,700",/yr
4.2,Swiss Re,1274763,"2,89,719","28,97,189",/yr
4.2,Tatras Data,1016744,"7,12,943","18,28,916",/yr
4.2,Robert Bosch,962262,"8,00,000","16,05,654",/yr
4.2,Loyalytics Consulting,1934136,"5,89,100","42,46,240",/yr
4.2,Aera Technology,1267624,"13,24,037","18,45,024",/yr
4.2,NetApp,2243280,"22,09,127","33,99,073",/yr
4.2,Capital One,1318502,"1,68,628","31,27,627",/yr
4.2,Exzeo,798462,"7,35,016","12,61,140",/yr
4.2,Wakefit,1456620,"10,83,115","25,58,436",/yr
4.2,ZedEye Labs,738751,"6,80,000","11,66,877",/yr
4.2,AlgonoX Technologies,777267,"6,10,397","13,32,771",/yr
4.2,InMobi,2023442,"16,65,355","33,93,251",/yr
4.2,Glance,1969639,"15,24,097","34,00,000",/yr
4.2,Texas Instruments,1992164,"12,20,971","37,59,439",/yr
4.2,Morningstar,853518,"6,87,985","14,45,809",/yr
4.2,Tata Motors,1041840,"7,74,600","18,30,000",/yr
4.2,Pivotchain Solutions,500290,"5,95,031","6,55,694",/yr
4.2,Prakhar Software Solutions,479304,"5,73,852","6,24,408",/yr
4.2,IITS,487652,"5,82,253","6,36,876",/yr
4.2,Arcadix,528566,"6,37,935","6,83,480",/yr
4.2,Mid North Coast Local Health District,500800,"5,97,938","6,54,063",/yr
4.2,TomTom,510557,"6,10,429","6,65,964",/yr
4.2,Techlene Software Solutions,511788,"6,12,114","6,67,355",/yr
4.2,AGS Infotech limited,527606,"6,29,467","6,89,548",/yr
4.2,Boston IT Solutions,491897,"5,90,032","6,39,710",/yr
4.2,Harry's,526888,"6,36,005","6,81,215",/yr
4.2,Cemtics,489467,"5,86,808","6,36,859",/yr
4.2,Sakshi,479770,"5,78,868","6,20,556",/yr
4.2,Danalitic,41877,"50,249","54,444",/yr
4.2,AI Touch,246274,"2,97,308","3,18,378",/yr
4.2,Sonetel,579758,"6,97,827","7,51,567",/yr
4.2,Apptio,1224321,"14,66,809","15,93,993",/yr
4.2,Bit Hub Technology,366386,"4,40,343","4,75,623",/yr
4.2,eattributes,675988,"8,07,718","8,82,253",/yr
4.2,Im a fresher stop asking me,1147562,"13,65,334","15,03,570",/yr
4.2,Laqshya Media Pvt.,578276,"6,88,716","7,56,974",/yr
4.2,GoDutch Marketing,299704,"3,57,833","3,91,427",/yr
4.2,Colgate-Palmolive,604949,"7,30,423","7,81,949",/yr
4.2,Motifworks,808507,"9,69,312","10,51,955",/yr
4.2,Netflix,449274,"5,39,843","5,83,342",/yr
4.2,Achala Solutions,1322204,"15,97,185","17,08,326",/yr
4.2,Silicon Valley Bank,185951,"2,23,268","2,41,610",/yr
4.2,Course Hero,887572,"10,63,695","11,55,235",/yr
4.2,Twitter,1702815,"20,44,289","22,12,748",/yr
4.2,Progress,863238,"10,35,577","11,22,519",/yr
4.2,Tricog Health Services,611740,"7,34,103","7,95,248",/yr
4.2,DataOrb,1448906,"17,39,754","18,82,512",/yr
4.2,Amnet Systems Private,598101,"7,19,655","7,75,598",/yr
4.2,Tuzen Technologies,557222,"6,73,508","7,19,548",/yr
4.2,Oceanic Pharmachem,962262,"8,00,000","16,05,654",/yr
4.2,Axis Mutual Fund,71728,"85,815","93,504",/yr
4.2,abv - Iiitm Gwalior,43112,"51,842","55,938",/yr
4.2,Allstate India,83330,"1,00,685","1,07,640",/yr
4.2,Timble Technologies,15178,"18,168","19,777",/yr
4.2,DigitalMarketer,17893,"21,472","23,261",/yr
4.2,EzeiaTech,18702,"22,355","24,400",/yr
4.2,Zendesk,39044,"46,885","50,724",/yr
4.2,D. E. Shaw India,141151,"1,69,135","1,83,743",/yr
4.2,GLOBO,422907,"5,06,248","5,51,019",/yr
4.2,Hello Network,1250290,"14,92,730","16,32,995",/yr
4.2,Mercedes-Benz Group,98269,"1,17,185","1,28,488",/yr
4.2,Alpha Ori,29696,"35,468","38,772",/yr
4.2,Freelance,44,53,58,/yr
4.2,Schneider Electric,29796,"35,786","38,703",/yr
4.2,MSCI,41701,"50,132","54,120",/yr
4.2,GS Lab,46893,"56,563","60,669",/yr
4.2,Jigsaw Academy,46215,"55,564","59,973",/yr
4.2,Enquero,853062,"10,28,785","11,03,870",/yr
4.2,OkCredit,251801,"3,01,653","3,27,850",/yr
4.2,Bharti Airtel,962262,"8,00,000","16,05,654",/yr
4.2,Johnson & Johnson,685816,"8,21,881","8,92,658",/yr
4.2,National Thermal Power,2210532,"26,48,987","28,77,343",/yr
4.2,MiQ,1237144,"14,87,136","16,05,725",/yr
4.2,Unbxd,2342084,"28,01,599","30,53,610",/yr
4.2,Cogoport,898486,"10,78,454","11,67,760",/yr
4.2,Schneider Electric,813707,"9,81,712","10,52,555",/yr
4.2,Jigsaw Academy,417563,"4,99,190","5,44,717",/yr
4.2,NetApp,505466,"6,05,445","6,58,221",/yr
4.2,Freelancer,542326,"6,51,956","7,03,860",/yr
4.2,HP Inc.,1745656,"20,96,886","22,67,254",/yr
4.2,Innoplexus,1126704,"8,20,011","19,96,750",/yr
4.2,AlgonoX Technologies,760162,"5,99,566","13,00,838",/yr
4.2,HP Inc.,1777038,"13,67,555","30,75,040",/yr
4.2,Morningstar,657542,"6,14,025","10,29,830",/yr
4.2,Scienaptic Systems,1614720,"9,33,502","31,03,297",/yr
4.2,Enquero,1295542,"11,57,162","20,81,693",/yr
4.2,HP Inc.,345927,"3,52,293","5,12,524",/yr
4.2,Coupa Software Inc,2703328,"29,71,245","37,87,074",/yr
4.2,Swiss Re,1998349,"16,29,584","33,66,288",/yr
4.2,o9 Solutions,1418010,"17,00,000","18,45,024",/yr
4.2,MiQ,1877980,"20,50,027","26,44,922",/yr
4.2,Noodle.ai,1672470,"16,83,144","24,98,032",/yr
4.3,Shorewise Consulting,386409,"4,64,324","5,01,699",/yr
4.3,CoreView Systems,426627,"5,13,752","5,52,816",/yr
4.3,Centelon,408370,"4,90,973","5,29,951",/yr
4.3,Colt Technology Services,819630,"9,78,960","10,70,114",/yr
4.3,iQGateway,479057,"5,76,804","6,20,838",/yr
4.3,MathWorks,502062,"6,00,948","6,54,206",/yr
4.3,Shiv Nadar University,509964,"6,06,618","6,68,292",/yr
4.3,Object Technology Solutions India,1541760,"18,49,544","20,04,855",/yr
4.3,yellow.ai,342067,"4,08,918","4,46,249",/yr
4.3,Yochana IT Solutions,719176,"8,62,263","9,35,676",/yr
4.3,Rohde & Schwarz,3186656,"38,26,200","41,40,440",/yr
4.3,Powerweave,916368,"11,05,741","11,85,180",/yr
4.3,Aganitha Cognitive Solutions,988587,"11,88,199","12,83,268",/yr
4.3,Applied Information Sciences,2055113,"24,72,493","26,65,290",/yr
4.3,Kangaroo Software,332003,"3,99,381","4,30,627",/yr
4.3,Evarcity,298872,"3,57,628","3,89,552",/yr
4.3,Futureware Technologies,346621,"4,14,109","4,52,443",/yr
4.3,BT GLOBAL BUSINESS SERVICES PVT. LTD,1545213,"18,71,255","19,91,778",/yr
4.3,Infodeal,700352,"8,39,748","9,11,133",/yr
4.3,Gear up,939843,"11,27,033","12,22,575",/yr
4.3,Darshan Soft-Tech,253857,"3,05,901","3,28,742",/yr
4.3,Dynatrace,562999,"6,72,931","7,34,566",/yr
4.3,Agoda,2155183,"26,00,964","27,86,994",/yr
4.3,Genesis Group Software Developers,172070,"2,05,554","2,24,622",/yr
4.3,RPG Group,1794666,"21,65,845","23,20,821",/yr
4.3,Sazi Máquinas,663790,"7,90,847","8,68,629",/yr
4.3,BitLogic Software,328173,"3,97,664","4,22,769",/yr
4.3,Clairvoyant,1475385,"17,53,677","19,34,785",/yr
4.3,Aeries Technology,1066574,"12,82,778","13,83,656",/yr
4.3,Graco,552196,"6,64,511","7,15,979",/yr
4.3,YGroup Companies,1332444,"16,06,912","17,24,197",/yr
4.3,GAIN Credit (formerly Global Analytics),1776086,"21,25,958","23,14,258",/yr
4.3,BITS Pilani,4783911,"57,65,611","61,94,167",/yr
4.3,ASD Data Services,1870822,"22,34,646","24,42,410",/yr
4.3,Gamezop,1013829,"12,17,370","13,17,203",/yr
4.3,Lemnisk,1861290,"22,26,258","24,26,966",/yr
4.3,Datalytics,40446,"48,405","52,709",/yr
4.3,Malaviya National Institute of Technology Jaipur,32214,"38,790","41,744",/yr
4.3,Exponential Solutions & Consultancy Services,13990,"16,691","18,285",/yr
4.3,CTPL.io,8605,"10,340","11,173",/yr
4.3,Student,31437,"37,811","40,782",/yr
4.3,Emrec Technologies,40981,"49,576","52,876",/yr
4.3,ABC Tech,50337,"60,508","65,335",/yr
4.3,Informatica,51623,"62,203","66,854",/yr
4.3,St. John’s Research Institute,40849,"49,249","52,874",/yr
4.3,YouTube,47259,"57,009","61,139",/yr
4.3,Redington Group,88742,"1,06,632","1,15,222",/yr
4.3,Jotwani Associates,34296,"41,010","44,729",/yr
4.3,Omega,42268,"50,686","54,983",/yr
4.3,NIT Jalandhar,33332,"39,907","43,424",/yr
4.3,LeetCode,71505,"85,278","93,485",/yr
4.3,Online Data Entry Job,40412,"48,491","52,540",/yr
4.3,Shure,16614,"19,844","21,690",/yr
4.3,Sasan Power,27041,"32,550","35,052",/yr
4.3,Verificient Technologies,9164,"10,943","11,966",/yr
4.3,Bestintown Analytics,19419,"23,280","25,268",/yr
4.3,Rahul Mishra,162698,"1,93,947","2,12,799",/yr
4.3,MResult,467650,"5,61,356","6,07,768",/yr
4.3,IIT,1709302,"20,42,779","22,30,477",/yr
4.3,Okay.com,178109,"2,14,007","2,31,265",/yr
4.3,IHub IT Solutions,22085,"26,427","28,785",/yr
4.3,Manipal University,25036,"30,122","32,469",/yr
4.3,SocialTek AI and ML Business Solutions,19957,"23,979","25,913",/yr
4.3,College Internship Program,56132,"66,973","73,356",/yr
4.3,Softsensor AI,50256,"60,386","65,254",/yr
4.3,iDTech Technologies,562944,"6,77,563","7,29,797",/yr
4.3,Apisero,793205,"5,86,988","13,96,025",/yr
4.3,Grab,1434334,"4,92,552","30,93,282",/yr
4.3,Dozee,988443,"9,04,296","15,66,811",/yr
4.3,NewAge Products,673206,"7,82,492","9,00,524",/yr
4.3,Value3,843481,"7,91,493","13,17,209",/yr
4.3,Petpooja,299372,"2,56,691","4,91,739",/yr
4.3,Simpl,1666758,"10,00,239","31,66,655",/yr
4.3,IVYTEL Technologies,408903,"4,84,988","5,37,269",/yr
4.3,KAS Services,1986451,"17,92,775","31,73,352",/yr
4.3,MSys Technologies,876970,"7,76,972","14,15,452",/yr
4.3,Credit Saison India,1885588,"21,75,168","25,38,802",/yr
4.3,Snapdeal,932939,"7,39,425","15,92,923",/yr
4.3,Cognizer,819440,"9,75,595","10,73,006",/yr
4.3,Stancecode,800544,"9,58,630","10,42,730",/yr
4.3,ORMAE,14200,"12,764","22,735",/yr
4.3,Rubixe,26490,"28,654","37,571",/yr
4.3,Self Opportunity,35654,"30,948","58,188",/yr
4.3,Mastercard,103345,"1,22,491","1,35,872",/yr
4.3,Defence Research & Development Organisation,43689,"39,380","69,843",/yr
4.3,Iris Software,1431219,"14,51,522","21,26,526",/yr
4.3,Srijan Technologies,814496,"9,27,469","11,08,771",/yr
4.3,Zendrive,1294485,"13,31,836","19,04,377",/yr
4.3,NeenOpal,12464,"14,270","16,890",/yr
4.3,Kissht,46780,"54,162","62,788",/yr
4.3,Self Opportunity,903938,"3,53,354","19,06,491",/yr
4.3,Intel Corporation,78035,"93,323","1,01,765",/yr
4.3,Iris Software,1134488,"13,61,340","14,74,881",/yr
4.3,ORMAE,7952,"9,516","10,364",/yr
4.3,Rubixe,25638,"30,759","33,337",/yr
4.3,AI Variant,191748,"2,31,281","2,48,090",/yr
4.3,Fresher,11891,"14,255","15,473",/yr
4.3,Altimetrik,32790,"39,200","42,774",/yr
4.3,Tiger Analytics,23737,"28,390","30,953",/yr
4.3,Cisco Systems,9044,"10,890","11,719",/yr
4.3,Altimetrik,20335,"24,345","26,493",/yr
4.3,Gramener,8861,"10,627","11,525",/yr
4.3,Mate Labs,695180,"8,39,310","8,98,639",/yr
4.3,Cisco Systems,949974,"11,45,072","12,29,863",/yr
4.3,Self Opportunity,731237,"8,74,880","9,53,213",/yr
4.3,Defence Research & Development Organisation,81512,"97,573","1,06,208",/yr
4.3,Sciffer Analytics,319906,"3,82,968","4,16,796",/yr
4.3,Slide Inc,2399736,"28,63,950","31,35,390",/yr
4.3,AI Variant,399640,"4,75,750","5,23,350",/yr
4.3,AI Variant,635434,"7,61,744","8,26,840",/yr
4.3,Money View,961296,"11,50,752","12,52,488",/yr
4.3,Self Opportunity,955032,"11,46,516","12,41,064",/yr
4.3,Defence Research & Development Organisation,486892,"1,65,264","10,51,965",/yr
4.3,VMware,1315317,"5,11,687","27,76,606",/yr
4.3,AlmaBetter,600370,"4,80,000","10,20,926",/yr
4.3,Altimetrik,617905,"3,99,831","11,44,931",/yr
4.3,Head Digital Works,860120,"6,24,508","15,25,793",/yr
4.3,Money View,1122222,"13,00,000","15,05,556",/yr
4.3,BA Continuum India,2000000,"12,00,000","38,00,000",/yr
4.3,Meta,2113524,"6,00,000","46,83,810",/yr
4.3,Karza Technologies,1373894,"8,52,735","25,82,001",/yr
4.3,Tatvic Analytics,618387,"3,79,090","11,66,877",/yr
4.3,SwitchOn,523362,"5,55,321","7,53,083",/yr
4.3,Globant,1810067,"12,47,749","32,77,418",/yr
4.3,Linsyssoft Technologies,343264,"4,27,103","4,31,058",/yr
4.3,Synechron,1436254,"11,40,412","24,50,223",/yr
4.3,Innefu Labs Pvt,634482,"5,21,271","10,64,933",/yr
4.3,Josh Technology Group,522596,"6,26,431","6,80,058",/yr
4.3,NaviRisk Consulting,481230,"5,82,407","6,20,669",/yr
4.3,Ciena,1347838,"16,12,749","17,56,845",/yr
4.3,Freelance,2684072,"32,07,169","35,03,010",/yr
4.3,EC Infosolutions,756487,"9,08,036","9,83,181",/yr
4.3,"The Associated Students, CSU Fullerton",670911,"8,08,734","8,68,544",/yr
4.3,Visvesvaraya Technological University,401408,"4,80,850","5,22,670",/yr
4.3,Srivenk Soft Solutions,543454,"6,52,262","7,06,373",/yr
4.3,Vipul,835552,"9,96,535","10,92,344",/yr
4.3,Natrinai Technologies Private,834958,"10,00,840","10,86,554",/yr
4.3,Intelliswift,1122862,"13,50,328","14,56,826",/yr
4.3,KnowDis Data Science,827802,"9,97,498","10,72,008",/yr
4.3,Instamojo,3159780,"38,13,425","40,86,024",/yr
4.3,Manasa,559339,"6,70,173","7,28,175",/yr
4.3,FogHorn Systems,1862627,"22,27,321","24,29,247",/yr
4.3,PhonePe,2116689,"25,63,425","27,28,298",/yr
4.3,TeamScale,1263949,"15,30,499","16,29,373",/yr
4.3,DexLab Analytics,676994,"8,14,928","8,77,558",/yr
4.3,BuddhiMed Technologies,1083210,"12,94,897","14,13,128",/yr
4.3,SirionLabs,2544330,"30,69,076","32,91,748",/yr
4.3,Techno Comp,860067,"10,32,187","11,17,980",/yr
4.3,Multi Recruit,1595392,"19,12,966","20,75,515",/yr
4.3,V-Soft Consulting Group,855402,"10,25,709","11,12,795",/yr
4.3,CreditVidya,997594,"11,93,110","13,00,876",/yr
4.3,Hauk Kruse & Associates,1432864,"17,21,186","18,60,974",/yr
4.3,Ashish Food,1023704,"12,28,955","13,30,304",/yr
4.3,AmberTAG Analytics,288922,"3,45,949","3,76,357",/yr
4.3,V2 Solutions,968122,"11,60,116","12,60,189",/yr
4.3,Occipital Tech,642833,"7,70,731","8,36,351",/yr
4.3,VedaInfo,587049,"7,05,567","7,62,056",/yr
4.3,Saankhya Labs,1326677,"15,94,469","17,22,223",/yr
4.3,Editorialist YX,814014,"9,74,063","10,60,971",/yr
4.3,Frontend Revolution,12872,"15,443","16,736",/yr
4.3,AIndra Labs,20943,"25,145","27,212",/yr
4.3,JindalX,12764,"15,377","16,533",/yr
4.3,Amantya Technologies,61956,"74,346","80,543",/yr
4.3,Datasite,16618,"19,979","21,567",/yr
4.3,"Indraprastha Institute of Information Technology, Delhi",29254,"35,315","37,821",/yr
4.3,Learn Digital Academy,12014,"14,514","15,520",/yr
4.3,OM SOFTWARE,11986,"14,473","15,493",/yr
4.3,Cornerstone Solutions,11968,"14,462","15,459",/yr
4.3,Devi Ahilya Vishwavidyalaya,640,772,829,/yr
4.3,Apsidata solutions,178155,"2,13,936","2,31,451",/yr
4.3,Mate Labs,14099,"16,914","18,333",/yr
4.3,Money View,32378,"38,993","41,952",/yr
4.3,Slide Inc,84807,"1,02,006","1,10,011",/yr
4.3,Kissht,44156,"52,880","57,510",/yr
4.3,College Internship Program,12734,"15,277","16,558",/yr
4.3,SocialTek AI and ML Business Solutions,7997,"9,589","10,404",/yr
4.3,Fresher,15963,"19,096","20,811",/yr
4.3,Altimetrik,37732,"45,419","48,912",/yr
4.3,Exposys Data Labs,5734,"6,933","7,403",/yr
4.3,Self Opportunity,16034,"19,156","20,928",/yr
4.3,dunnhumby,1124683,"13,50,796","14,60,912",/yr
4.3,Quantium,31747,"38,158","41,209",/yr
4.3,Cisco Systems,673689,"8,10,450","8,73,772",/yr
4.3,American Express,32673,"39,126","42,557",/yr
4.3,AI Variant,326618,"3,93,077","4,23,467",/yr
4.3,IHub IT Solutions,466958,"5,63,874","6,03,522",/yr
4.3,NeenOpal,5997485,"72,14,409","77,79,304",/yr
4.3,Zendrive,1472180,"14,74,507","22,05,943",/yr
4.3,Belzabar Software Design,826111,"1,16,688","19,48,590",/yr
4.3,dunnhumby,1398188,"11,57,162","23,38,308",/yr
4.3,dunnhumby,815336,"5,35,666","15,02,675",/yr
4.3,dunnhumby,1054379,"1,92,535","24,43,413",/yr
4.3,AlgoAnalytics Financial Consultancy,461346,"4,03,955","7,49,410",/yr
4.3,dunnhumby,1568510,"11,20,770","28,00,506",/yr
4.3,Gramener,553364,"5,71,073","8,12,336",/yr
4.3,dunnhumby,4742425,"8,82,567","1,09,73,496",/yr
4.3,dunnhumby,1692797,"17,12,698","25,19,295",/yr
4.3,Gramener,778700,"3,68,802","15,77,948",/yr
4.3,Gramener,851252,"1,52,773","19,75,357",/yr
4.3,Tiger Analytics,1792427,"16,25,703","28,55,365",/yr
4.3,Fresher,440000,"4,00,000","7,00,000",/yr
4.3,Embibe,1207890,"8,53,494","21,66,230",/yr
4.3,ORMAE,821190,"8,32,677","12,20,297",/yr
4.3,Gramener,587595,"5,08,988","9,60,000",/yr
4.3,Cisco Systems,1765939,"12,67,125","31,47,722",/yr
4.3,VMware,1712943,"17,82,357","25,00,000",/yr
4.3,Iris Software,1465655,"10,16,064","26,48,074",/yr
4.3,Iris Software,475469,"5,11,021","6,77,652",/yr
4.3,dunnhumby,1339211,"11,66,174","21,81,853",/yr
4.3,Tiger Analytics,660000,"7,50,000","9,00,000",/yr
4.3,Dell Technologies,9885288,"17,13,219","2,30,00,000",/yr
4.3,GAIN Credit (formerly Global Analytics),1072439,"9,99,578","16,81,520",/yr
4.3,Tiger Analytics,647026,"6,50,000","9,67,565",/yr
4.3,Grab,2480000,"21,00,000","41,00,000",/yr
4.3,Fidelity Investments,2654147,"23,33,755","43,01,612",/yr
4.3,Aganitha Cognitive Solutions,693657,"6,66,385","10,67,758",/yr
4.3,dunnhumby,2051788,"20,00,000","31,29,470",/yr
4.3,Snapdeal,1571179,"15,77,948","23,50,000",/yr
4.3,VMware,3661428,"32,27,501","59,26,069",/yr
4.3,dunnhumby,1311179,"15,77,948","17,00,000",/yr
4.4,Himani,413638,"4,97,026","5,37,068",/yr
4.4,Fixer,414101,"4,97,017","5,38,235",/yr
4.4,Vmoksha Technologies,417324,"5,02,861","5,40,450",/yr
4.4,Trendwise Analytics,397090,"4,74,539","5,18,185",/yr
4.4,Expert Freelancer Inc.,459039,"5,48,740","5,98,858",/yr
4.4,Amiable Infotech,375276,"4,54,131","4,84,058",/yr
4.4,Cimpress,418631,"5,01,004","5,45,573",/yr
4.4,Northcorp Software,419284,"5,03,364","5,44,847",/yr
4.4,Vsoft,384174,"4,57,823","5,02,612",/yr
4.4,Tesseract Global Solutions,821883,"9,84,622","10,70,086",/yr
4.4,Intelligic Software,482728,"5,78,684","6,28,135",/yr
4.4,Automaton AI,527002,"6,33,750","6,83,756",/yr
4.4,Alfonso & Associates Consulting,2942871,"35,40,900","38,16,278",/yr
4.4,Kairos Technologies,653715,"7,84,519","8,49,769",/yr
4.4,Jawaharlal Nehru University,1640043,"19,53,949","21,46,158",/yr
4.4,Kovid Academy,1592327,"19,10,940","20,69,877",/yr
4.4,SwoopTalent,1828099,"21,87,972","23,82,276",/yr
4.4,Simplify360,156507,"1,87,740","2,03,527",/yr
4.4,Government Engineering College,337873,"4,05,554","4,39,128",/yr
4.4,IC&SR,319179,"3,81,436","4,16,512",/yr
4.4,PlayShifu,690268,"8,25,429","9,00,242",/yr
4.4,Skandiabanken,1691999,"20,34,713","21,95,285",/yr
4.4,Metyis,2535250,"30,59,334","32,78,790",/yr
4.4,Skit,1230231,"14,63,965","16,11,613",/yr
4.4,Kashish Corporation,255615,"3,07,548","3,31,490",/yr
4.4,Fluentgrid,753048,"9,04,800","9,77,820",/yr
4.4,The Self Employed Association,284944,"3,44,218","3,68,141",/yr
4.4,Savitribai Phule Pune University,578537,"6,92,049","7,54,294",/yr
4.4,Indeed,2242242,"26,74,947","29,30,658",/yr
4.4,Keybell Solutions,320739,"3,86,348","4,15,500",/yr
4.4,Bluemind Solutions,295357,"3,54,561","3,83,832",/yr
4.4,Amar Singh Chawal Wala,1403888,"16,94,982","18,14,739",/yr
4.4,ZestMoney,1281356,"15,43,068","16,60,321",/yr
4.4,Icreon,924073,"11,10,082","12,00,101",/yr
4.4,Netradyne,1499279,"18,04,384","19,43,814",/yr
4.4,Decision Minds,1519634,"18,33,417","19,65,669",/yr
4.4,Foundation AI,986882,"11,91,271","12,75,933",/yr
4.4,FreshersLive,255614,"3,04,828","3,34,207",/yr
4.4,Roposo,2663785,"31,84,584","34,74,878",/yr
4.4,Thincle Soft,16680,"19,990","21,711",/yr
4.4,Prakash Software Solutions Pvt Ltd.,88924,"1,07,691","1,14,618",/yr
4.4,Orbinet Technologies,596358,"7,14,089","7,76,807",/yr
4.4,Centre for Digital Financial Inclusion,42127,"50,399","54,919",/yr
4.4,InfoObjects,53838,"64,802","69,794",/yr
4.4,CSE,30565,"36,807","39,606",/yr
4.4,ModeliCon InfoTech,27896,"33,268","36,472",/yr
4.4,Brown University,8407,"10,026","10,991",/yr
4.4,Groww,30172,"36,210","39,219",/yr
4.4,Nam Technologies,37877,"45,811","48,882",/yr
4.4,Technical Data Analysis,8134,"9,811","10,523",/yr
4.4,Matellio,8270,"9,910","10,766",/yr
4.4,Fullstack Academy,10008,"12,013","13,008",/yr
4.4,NIT Trichy,9815,"11,717","12,820",/yr
4.4,Goals101,8489,"10,181","11,041",/yr
4.4,eTeam,582279,"7,00,567","7,55,130",/yr
4.4,Cliently,360443,"4,30,133","4,70,975",/yr
4.4,SpringML,55788,"35,587","1,03,883",/yr
4.4,Fusion Practices,45984,"48,930","66,031",/yr
4.4,ThinkBridge,52562,"52,953","78,452",/yr
4.4,Indian Statistical Institute,27914,"26,989","42,796",/yr
4.4,Kevit Technologies,18435,"16,417","29,671",/yr
4.4,Self-employed,382770,"4,62,614","4,94,312",/yr
4.4,Symphony RetailAI,1622677,"19,46,002","21,10,690",/yr
4.4,Suraj,785419,"8,89,169","10,74,379",/yr
4.4,Artefact,1288053,"10,19,162","22,00,970",/yr
4.4,Innovative Business Solutions,683808,"8,23,329","8,86,190",/yr
4.4,Tavant,1084594,"5,61,949","21,49,536",/yr
4.4,Belong,1195478,"12,96,894","16,91,802",/yr
4.4,McKinsey & Company,1499649,"17,83,157","19,65,965",/yr
4.4,OneAssist Consumer Solutions,1533578,"15,37,205","22,96,740",/yr
4.4,Turing.com,450160,"4,79,885","6,45,516",/yr
4.4,Encora,1057351,"7,91,910","18,51,467",/yr
4.4,Zoom Video Communications,2351056,"25,72,293","33,05,347",/yr
4.4,MindBowser Info Solutions,235658,"2,80,644","3,08,500",/yr
4.4,Admit.me,2021272,"19,60,054","30,93,125",/yr
4.4,RoundSqr,1387326,"9,76,852","24,91,463",/yr
4.4,Skoruz,930678,"10,99,454","12,27,241",/yr
4.4,AIEnterprise,614461,"7,08,697","8,27,456",/yr
4.4,McKinsey Knowledge Center,1556238,"17,48,042","21,42,554",/yr
4.4,Spineor,563383,"5,13,531","8,94,927",/yr
4.4,CrowdANALYTIX,557769,"6,02,530","7,91,892",/yr
4.4,EarlySalary.com,1048173,"9,27,263","16,93,169",/yr
4.4,Postman,1127434,"12,40,346","15,78,238",/yr
4.4,SelfEmployed.com,52152,"49,817","80,562",/yr
4.4,Experian,1176768,"11,50,584","17,91,335",/yr
4.4,Data Sciences,115102,"67,046","2,20,709",/yr
4.4,OptiSol Business Solutions Private Limited,407592,"1,94,085","8,24,896",/yr
4.4,Bajaj Finserv Health,939402,"9,75,954","13,72,550",/yr
4.4,ExcelR,34338,"30,537","55,307",/yr
4.4,Adobe,84226,"1,01,616","1,08,950",/yr
4.4,SelfEmployed.com,24648,"29,530","32,091",/yr
4.4,SAP,980190,"11,79,425","12,71,049",/yr
4.4,Adobe,159836,"1,90,228","2,09,362",/yr
4.4,LetsGrowMore,20383,"24,613","26,344",/yr
4.4,Techolution,12601,"15,154","16,348",/yr
4.4,Scaler Academy,29149,"35,147","37,726",/yr
4.4,ThinkBumblebee Analytics,8645,"10,359","11,254",/yr
4.4,ExcelR,192549,"2,30,222","2,51,150",/yr
4.4,Flutura,919392,"11,06,383","11,92,096",/yr
4.4,Express Analytics,727747,"8,73,403","9,45,965",/yr
4.4,Happiest Minds Technologies,651934,"7,85,800","8,44,034",/yr
